Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
13,CC-2014-946721,02/10/2014,06/10/2014,Standard Class,C-71993,Nora Preis,Consumer,United States,Los Angeles,California,90001,Central,FC-63354,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,539.5208,3,0.5,-84.7063
14,CC-2011-939482,21/04/2011,27/04/2011,Same Day,C-54473,Carlos Soltero,Corporate,United States,Denver,Colorado,80201,South,FB-24322,Furniture,Bookcases,Bush Somerset Collection Bookcase,1635.3714,11,0,-555.0243
15,CM-2012-202664,24/07/2012,28/07/2012,Same Day,M-82132,Emily Burns,Consumer,United States,Minneapolis,Minnesota,55401,West,FC-16630,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,628.2671,2,0.5,256.347
16,CO-2012-378085,13/03/2012,20/03/2012,Same Day,O-61173,Ken Black,Corporate,United States,Columbus,Ohio,43201,South,TA-69638,Technology,Accessories,Plantronics CS510 Wireless Headset,1005.5955,1,0,-21.1445
17,CM-2012-152578,21/03/2012,22/03/2012,Standard Class,M-17492,Peter Fuller,Consumer,United States,Minneapolis,Minnesota,55401,Central,OP-86569,Office Supplies,Paper,Avery Colored Bar Computer Paper,1450.0548,9,0,504.5836
18,HT-2011-358175,21/05/2011,26/05/2011,Second Class,T-84668,Brosina Hoffman,Home Office,United States,Houston,Texas,77001,West,OS-85880,Office Supplies,Supplies,Avery Marks-A-Lot Regular Desk,174.5624,14,0.1,0.6591
19,HF-2012-776856,23/02/2012,29/02/2012,First Class,F-98039,Patrick Jones,Home Office,United States,Fort Lauderdale,Florida,33301,Central,TA-49321,Technology,Accessories,Kensington 6170 Trackball,1791.8985,4,0.2,-7.5513
20,HK-2014-487477,06/01/2014,08/01/2014,Second Class,K-42018,Mark Lewis,Home Office,United States,Henderson,Kentucky,42420,East,OL-47353,Office Supplies,Labels,Avery Color Coding Labels,1267.1823,3,0.3,609.3426
21,HP-2011-320861,03/10/2011,06/10/2011,First Class,P-89276,Claire Gute,Home Office,United States,Philadelphia,Pennsylvania,19101,East,FT-54942,Furniture,Tables,Chromcraft Bull-Nose Wood Table,292.9945,2,0,-37.4013
22,CW-2012-269430,20/07/2012,21/07/2012,Second Class,W-44335,Eric Hoffmann,Consumer,United States,Madison,Wisconsin,53701,South,FF-67912,Furniture,Furnishings,Howard Miller 12 Height Clock,13.8465,13,0,3.2832
23,CK-2013-934794,26/01/2013,31/01/2013,Standard Class,K-57795,Pete Kriz,Consumer,United States,Henderson,Kentucky,42420,East,TP-15229,Technology,Phones,Motorola Smart Phone,1383.5501,7,0,-495.5477
24,CO-2012-288073,29/04/2012,06/05/2012,Same Day,O-13248,Harold Pawlan,Corporate,United States,Columbus,Ohio,43201,West,OE-53540,Office Supplies,Envelopes,Green Bar Envelopes,410.4419,13,0,197.5934
25,CT-2012-333752,31/03/2012,02/04/2012,Second Class,T-39831,Harold Pawlan,Corporate,United States,Houston,Texas,77001,South,OE-13101,Office Supplies,Envelopes,Columbian Poly String Tie Envelopes,2042.3836,8,0.3,-193.6366
26,CM-2014-373903,06/08/2014,11/08/2014,First Class,M-25118,Mick Brown,Consumer,United States,Detroit,Michigan,48201,Central,TC-33405,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1002.1976,14,0.3,540.4222
27,CNC-2014-101773,26/05/2014,31/05/2014,First Class,NC-67154,Rick Hansen,Corporate,United States,Charlotte,North Carolina,28201,South,TM-78146,Technology,Machines,Cisco TelePresence System EX90,293.5362,10,0.1,-42.6442
28,HC-2014-521947,20/09/2014,27/09/2014,First Class,C-52753,Andrew Allen,Home Office,United States,Denver,Colorado,80201,Central,TC-48752,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,315.9402,5,0.2,84.3222
29,HC-2013-736130,11/04/2013,16/04/2013,Standard Class,C-86019,Jim Mitchum,Home Office,United States,Denver,Colorado,80201,Central,TC-95813,Technology,Copiers,Canon PC940 Copier,2085.1443,5,0.2,-395.7965
30,HV-2014-805477,11/09/2014,12/09/2014,Same Day,V-40784,Craig Reiter,Home Office,United States,Richmond,Virginia,23218,West,OS-50687,Office Supplies,Storage,Carina Double Wide Media Storage,713.0471,11,0.3,-218.6294
31,CK-2013-618392,21/07/2013,25/07/2013,Same Day,K-60328,Sean O'Donnell,Consumer,United States,Henderson,Kentucky,42420,East,FC-62383,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,2215.9116,10,0.1,705.4264
32,CK-2014-578634,26/11/2014,01/12/2014,Standard Class,K-25906,Harold Pawlan,Corporate,United States,Henderson,Kentucky,42420,West,FC-27477,Furniture,Chairs,Harbour Creations Steel Folding Chair,1164.052,9,0.1,602.362
33,CT-2011-390782,22/11/2011,28/11/2011,Same Day,T-93579,Bill Donatelli,Corporate,United States,Nashville,Tennessee,37201,South,OS-78327,Office Supplies,Supplies,Avery Marks-A-Lot Regular Desk,2154.4298,8,0.2,757.8784
34,HV-2012-501641,10/07/2012,13/07/2012,First Class,V-40311,Andrew Allen,Home Office,United States,Richmond,Virginia,23218,West,OE-30028,Office Supplies,Envelopes,Columbian Poly String Tie Envelopes,802.6754,9,0,-210.0007
35,CC-2011-498858,08/05/2011,10/05/2011,Same Day,C-85456,Patrick Jones,Corporate,United States,Denver,Colorado,80201,South,TC-72518,Technology,Copiers,Canon PC940 Copier,2083.0635,7,0,951.4018
36,HA-2012-936912,25/03/2012,28/03/2012,Standard Class,A-99016,Patrick Jones,Home Office,United States,Phoenix,Arizona,85001,South,FF-62994,Furniture,Furnishings,Deflect-o Stackable Chair Mat,1092.4108,1,0.4,-69.7728
37,CW-2014-443254,09/08/2014,13/08/2014,Second Class,W-59689,Darrin Van Huff,Corporate,United States,Seattle,Washington,98101,East,TC-37742,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,343.5702,8,0,-120.1518
38,CA-2013-919182,21/08/2013,22/08/2013,First Class,A-18993,Mick Brown,Corporate,United States,Phoenix,Arizona,85001,East,OL-95426,Office Supplies,Labels,Avery 490 Gold Inkjet Labels,1873.8155,1,0.3,-329.3752
39,HNY-2011-904150,16/09/2011,20/09/2011,Standard Class,NY-43586,Darrin Van Huff,Home Office,United States,New York City,New York,10001,West,FB-58351,Furniture,Bookcases,Bush Somerset Collection Bookcase,1675.2998,10,0.1,108.9514
40,HP-2014-179688,25/03/2014,31/03/2014,Second Class,P-35995,Harold Pawlan,Home Office,United States,Philadelphia,Pennsylvania,19101,Central,FB-87607,Furniture,Bookcases,Bush Somerset Collection Bookcase,2270.5252,7,0.4,1229.4226
41,HP-2013-962276,27/12/2013,31/12/2013,Second Class,P-65057,Pete Kriz,Home Office,United States,Philadelphia,Pennsylvania,19101,Central,TC-74251,Technology,Copiers,Canon PC940 Copier,1655.4957,2,0.3,-641.2527
42,CV-2014-381433,15/06/2014,22/06/2014,Standard Class,V-87656,Zuschuss Donatelli,Corporate,United States,Richmond,Virginia,23218,Central,FT-52245,Furniture,Tables,Bevis Steel Folding Table,2299.4461,13,0.5,149.1737
43,CV-2011-456871,28/02/2011,04/03/2011,Same Day,V-43862,Elpida Rittenbach,Corporate,United States,Richmond,Virginia,23218,Central,FB-46655,Furniture,Bookcases,Sauder Classic Bookcase,2128.1273,3,0.5,-399.8329
44,CK-2013-569945,27/09/2013,02/10/2013,Standard Class,K-74332,Justin Ritter,Consumer,United States,Henderson,Kentucky,42420,South,TM-12260,Technology,Machines,Brother Fax Machine,1896.6208,12,0.5,466.3846
45,CA-2014-384076,07/02/2014,12/02/2014,First Class,A-69473,Elpida Rittenbach,Corporate,United States,Phoenix,Arizona,85001,South,FF-50189,Furniture,Furnishings,Eldon Fold N Roll Cart System,862.6747,12,0.3,-41.5718
46,CNY-2012-410636,19/03/2012,25/03/2012,Standard Class,NY-35443,Bill Donatelli,Consumer,United States,New York City,New York,10001,West,OE-39816,Office Supplies,Envelopes,Poly String Tie Envelopes,1213.0755,12,0.2,704.2032
47,CK-2014-701949,07/02/2014,10/02/2014,Second Class,K-11607,Alejandro Grove,Corporate,United States,Henderson,Kentucky,42420,East,OB-47268,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,1745.0564,3,0.5,-519.0013
48,CM-2011-156213,22/08/2011,29/08/2011,First Class,M-99974,Maria Etezadi,Consumer,United States,Detroit,Michigan,48201,South,OS-29887,Office Supplies,Storage,Carina Double Wide Media Storage,168.0319,8,0,29.7452
49,HO-2013-420214,06/12/2013,10/12/2013,Same Day,O-66207,Pete Kriz,Home Office,United States,Columbus,Ohio,43201,West,FF-84531,Furniture,Furnishings,Eldon Fold N Roll Cart System,1129.0336,8,0.2,519.5436
50,HNC-2014-572387,14/09/2014,15/09/2014,Standard Class,NC-63545,Craig Reiter,Home Office,United States,Charlotte,North Carolina,28201,Central,TA-87832,Technology,Accessories,Kensington 6170 Trackball,396.8574,3,0,-96.6218
51,HO-2011-335729,26/05/2011,01/06/2011,First Class,O-81376,Chloris Kastensmidt,Home Office,United States,Columbus,Ohio,43201,South,OF-94886,Office Supplies,Fasteners,Staple-based push pins,587.3924,5,0.1,14.7664
52,CF-2013-666211,18/06/2013,19/06/2013,First Class,F-75597,Brosina Hoffman,Consumer,United States,Fort Lauderdale,Florida,33301,Central,FF-74722,Furniture,Furnishings,Eldon Fold N Roll Cart System,1174.4014,5,0.4,637.3197
53,HC-2011-961322,22/02/2011,23/02/2011,First Class,C-98117,Rick Hansen,Home Office,United States,Los Angeles,California,90001,Central,OA-45325,Office Supplies,Art,Dixon Oriole Pens,576.1664,11,0,345.4535
54,CW-2014-436653,24/07/2014,31/07/2014,Standard Class,W-53687,Emily Burns,Corporate,United States,Madison,Wisconsin,53701,South,TA-97835,Technology,Accessories,Plantronics CS510 Wireless Headset,1231.8559,2,0.5,-64.1045
55,CC-2013-639593,20/07/2013,21/07/2013,Same Day,C-62976,Peter Fuller,Corporate,United States,Denver,Colorado,80201,East,FC-10150,Furniture,Chairs,Global Push Button Managers Chair,789.7203,6,0,450.2865
56,HC-2014-559398,04/07/2014,08/07/2014,First Class,C-47752,Justin Ritter,Home Office,United States,Los Angeles,California,90001,South,TP-73532,Technology,Phones,Samsung Galaxy S4,1901.1764,4,0.2,283.6929
57,HT-2014-583863,02/02/2014,03/02/2014,Standard Class,T-24871,Elpida Rittenbach,Home Office,United States,Nashville,Tennessee,37201,Central,FB-25396,Furniture,Bookcases,O'Sullivan Plantations Bookcase,1382.8673,2,0.1,819.013
58,CP-2012-882544,14/05/2012,18/05/2012,Same Day,P-76616,Mick Brown,Corporate,United States,Philadelphia,Pennsylvania,19101,South,TC-27892,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1380.4064,7,0.1,720.3901
59,CM-2014-461888,17/04/2014,22/04/2014,First Class,M-73483,Mick Brown,Consumer,United States,Detroit,Michigan,48201,Central,FF-53573,Furniture,Furnishings,Deflect-o Stackable Chair Mat,2497.2613,8,0,116.241
60,HM-2012-504832,23/04/2012,30/04/2012,Standard Class,M-59968,Justin Ritter,Home Office,United States,Detroit,Michigan,48201,South,TP-96991,Technology,Phones,Samsung Galaxy S4,1939.9835,1,0.3,668.7223
61,HC-2013-786587,20/06/2013,21/06/2013,First Class,C-63736,Alejandro Grove,Home Office,United States,Los Angeles,California,90001,East,TC-30232,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1317.248,8,0,424.7385
62,HM-2014-747453,13/10/2014,20/10/2014,Second Class,M-14705,Sanjit Chand,Home Office,United States,Detroit,Michigan,48201,Central,FT-18968,Furniture,Tables,Bevis Steel Folding Table,1336.3877,6,0.5,631.2869
63,CF-2011-407618,07/12/2011,13/12/2011,Second Class,F-17355,Rick Hansen,Consumer,United States,Fort Lauderdale,Florida,33301,South,FF-56984,Furniture,Furnishings,Eldon Fold N Roll Cart System,752.1679,1,0,-56.8829
64,HO-2011-250069,25/12/2011,26/12/2011,Standard Class,O-86435,Patrick Jones,Home Office,United States,Columbus,Ohio,43201,West,OP-40433,Office Supplies,Paper,Xerox 1967,1525.682,7,0.1,149.0092
65,CI-2011-823846,01/06/2011,05/06/2011,First Class,I-65615,Claire Gute,Corporate,United States,Chicago,Illinois,60601,West,OF-42780,Office Supplies,Fasteners,Advantus Map Pins,2363.3629,10,0.2,564.6989
66,CA-2014-515032,17/03/2014,20/03/2014,Standard Class,A-96275,Sandra Clark,Consumer,United States,Phoenix,Arizona,85001,South,OF-45976,Office Supplies,Fasteners,Staple-based push pins,1439.1558,12,0.2,-544.0878
67,CW-2014-777737,27/07/2014,29/07/2014,First Class,W-92242,Chloris Kastensmidt,Consumer,United States,Madison,Wisconsin,53701,West,FB-15167,Furniture,Bookcases,O'Sullivan Plantations Bookcase,1554.1235,11,0,354.7257
68,HI-2012-483629,27/08/2012,30/08/2012,Standard Class,I-80701,Lena Hernandez,Home Office,United States,Indianapolis,Indiana,46201,East,OS-79579,Office Supplies,Storage,Eldon Jumbo ProFile Portable Mobile Manager,1869.9648,3,0.1,-500.8518
69,CI-2013-483542,17/08/2013,18/08/2013,First Class,I-83048,Sandra Clark,Corporate,United States,Chicago,Illinois,60601,East,TM-21836,Technology,Machines,Cisco TelePresence System EX90,356.1888,4,0.4,202.0551
70,CM-2014-126240,12/04/2014,16/04/2014,First Class,M-71797,Pete Kriz,Corporate,United States,Minneapolis,Minnesota,55401,Central,OA-91205,Office Supplies,Appliances,Holmes Replacement Filter,2056.9312,6,0,565.3199
71,HO-2014-221761,22/08/2014,26/08/2014,Same Day,O-74569,Andrew Allen,Home Office,United States,Columbus,Ohio,43201,Central,TM-22739,Technology,Machines,Brother Fax Machine,296.1065,1,0,-28.3183
72,HV-2013-134305,29/04/2013,05/05/2013,Same Day,V-46666,Lena Hernandez,Home Office,United States,Richmond,Virginia,23218,West,FC-58566,Furniture,Chairs,Global Push Button Managers Chair,252.059,8,0.4,135.8732
73,CO-2011-772875,05/05/2011,09/05/2011,First Class,O-37801,Lena Hernandez,Consumer,United States,Columbus,Ohio,43201,Central,FT-93819,Furniture,Tables,Bevis Steel Folding Table,693.3242,2,0.5,-213.7703
74,CM-2014-926952,09/02/2014,11/02/2014,Standard Class,M-29340,Elpida Rittenbach,Consumer,United States,Detroit,Michigan,48201,East,TA-88116,Technology,Accessories,Plantronics CS510 Wireless Headset,1468.0258,14,0.1,-104.8764
75,CW-2011-282710,27/09/2011,28/09/2011,Second Class,W-12068,Eric Hoffmann,Consumer,United States,Seattle,Washington,98101,East,FF-44782,Furniture,Furnishings,Eldon Fold N Roll Cart System,898.8145,13,0.1,169.7437
76,HC-2013-744986,07/07/2013,14/07/2013,Second Class,C-39038,Pete Kriz,Home Office,United States,Denver,Colorado,80201,South,FC-15683,Furniture,Chairs,Harbour Creations Steel Folding Chair,908.2872,10,0,47.2359
77,CK-2014-737846,06/11/2014,07/11/2014,Same Day,K-52219,Brosina Hoffman,Corporate,United States,Henderson,Kentucky,42420,South,TM-29442,Technology,Machines,Hewlett-Packard LaserJet 3310 Copier,1228.2208,8,0,613.2098
78,CT-2013-906315,01/11/2013,06/11/2013,First Class,T-95316,Bill Donatelli,Corporate,United States,Nashville,Tennessee,37201,South,FC-82264,Furniture,Chairs,Global Push Button Managers Chair,1078.3473,13,0,488.2678
79,CV-2013-492483,27/03/2013,31/03/2013,First Class,V-43408,Katherine Murray,Corporate,United States,Richmond,Virginia,23218,South,TC-30006,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1825.3832,6,0.4,-159.678
80,CF-2013-470774,02/02/2013,09/02/2013,Same Day,F-63845,Irene Maddox,Consumer,United States,Fort Lauderdale,Florida,33301,East,TP-97207,Technology,Phones,Apple iPhone 6S,329.6381,1,0.3,89.0067
81,CT-2011-485415,13/11/2011,19/11/2011,Second Class,T-82910,Anna Chung,Corporate,United States,Nashville,Tennessee,37201,West,OA-25058,Office Supplies,Appliances,Holmes Replacement Filter,1208.0625,14,0,-60.2654
82,HM-2012-250210,05/01/2012,08/01/2012,First Class,M-33777,Darrin Van Huff,Home Office,United States,Minneapolis,Minnesota,55401,East,OE-84228,Office Supplies,Envelopes,Columbian Poly String Tie Envelopes,1758.2334,5,0.3,-86.1123
83,CW-2013-725185,09/05/2013,13/05/2013,Standard Class,W-84395,Darrin Van Huff,Consumer,United States,Seattle,Washington,98101,South,TP-21135,Technology,Phones,Apple iPhone 6S,855.5355,6,0.2,275.1368
84,HT-2013-891615,26/06/2013,02/07/2013,Second Class,T-38255,Brosina Hoffman,Home Office,United States,Nashville,Tennessee,37201,Central,FC-77154,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,1062.9169,10,0.5,15.0761
85,HNC-2011-321494,04/04/2011,06/04/2011,Same Day,NC-49507,Chloris Kastensmidt,Home Office,United States,Charlotte,North Carolina,28201,Central,FF-27987,Furniture,Furnishings,Deflect-o Stackable Chair Mat,991.1822,10,0,-388.8536
86,CNC-2011-557409,22/09/2011,26/09/2011,Same Day,NC-15544,Claire Gute,Corporate,United States,Charlotte,North Carolina,28201,West,OF-12456,Office Supplies,Fasteners,Advantus Map Pins,1333.793,4,0.3,-437.3834
87,HI-2012-582446,15/08/2012,16/08/2012,Same Day,I-91018,Rick Hansen,Home Office,United States,Indianapolis,Indiana,46201,South,OA-57428,Office Supplies,Art,Avery Flip-Chart Easel Binders,1015.5556,6,0,407.565
88,HO-2013-180089,21/03/2013,28/03/2013,Same Day,O-32037,Rick Hansen,Home Office,United States,Columbus,Ohio,43201,East,FT-76910,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,779.135,6,0.1,-52.1486
89,CM-2012-179013,28/04/2012,29/04/2012,First Class,M-95918,Justin Ritter,Corporate,United States,St. Louis,Missouri,63101,West,TA-33218,Technology,Accessories,Kensington 6170 Trackball,370.3783,4,0,74.9642
90,HI-2011-158900,06/11/2011,10/11/2011,First Class,I-87518,Emily Burns,Home Office,United States,Indianapolis,Indiana,46201,Central,TP-56129,Technology,Phones,Samsung Galaxy S4,175.3742,8,0.2,69.506
91,CV-2012-503159,10/08/2012,11/08/2012,Second Class,V-76462,Emily Burns,Consumer,United States,Richmond,Virginia,23218,Central,TA-70648,Technology,Accessories,Logitech G600 MMO Gaming Mouse,1613.4428,14,0,346.9037
92,CI-2011-629057,07/05/2011,11/05/2011,Same Day,I-21053,Justin Ritter,Corporate,United States,Indianapolis,Indiana,46201,West,TA-94689,Technology,Accessories,Logitech G600 MMO Gaming Mouse,263.2372,14,0.3,153.3055
93,HV-2013-927564,02/02/2013,05/02/2013,Standard Class,V-16863,Emily Burns,Home Office,United States,Richmond,Virginia,23218,Central,FB-92691,Furniture,Bookcases,Bush Somerset Collection Bookcase,971.6043,13,0.3,270.9782
94,HM-2012-795847,31/05/2012,06/06/2012,Same Day,M-86380,Harold Pawlan,Home Office,United States,Detroit,Michigan,48201,Central,TM-28537,Technology,Machines,Cisco TelePresence System EX90,2129.6578,10,0,-141.9161
95,HA-2014-651963,18/02/2014,22/02/2014,Second Class,A-99838,Alejandro Grove,Home Office,United States,Phoenix,Arizona,85001,Central,OF-22249,Office Supplies,Fasteners,OIC Push Pins,1610.5157,6,0,435.0267
96,CG-2012-262471,14/03/2012,17/03/2012,First Class,G-28030,Darrin Van Huff,Corporate,United States,Atlanta,Georgia,30301,West,TP-20114,Technology,Phones,Motorola Smart Phone,2369.4323,8,0.1,-410.9945
97,HM-2014-530816,08/05/2014,12/05/2014,First Class,M-15726,Sean O'Donnell,Home Office,United States,Minneapolis,Minnesota,55401,West,OA-57749,Office Supplies,Art,Dixon Oriole Pens,389.8606,3,0,125.2166
98,HT-2013-485709,29/12/2013,31/12/2013,Same Day,T-35430,Chloris Kastensmidt,Home Office,United States,Nashville,Tennessee,37201,West,TC-98907,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,777.1224,13,0.5,391.6497
99,HP-2012-489244,13/02/2012,20/02/2012,Same Day,P-72991,Jim Mitchum,Home Office,United States,Philadelphia,Pennsylvania,19101,West,TP-82684,Technology,Phones,Samsung Galaxy S4,1513.6353,14,0.2,-526.4729
100,CF-2013-535050,14/06/2013,15/06/2013,Same Day,F-13495,Ken Black,Corporate,United States,Fort Lauderdale,Florida,33301,West,FB-16980,Furniture,Bookcases,Sauder Classic Bookcase,2366.3011,4,0.5,1146.78
101,CO-2011-140163,27/02/2011,02/03/2011,First Class,O-28035,Jim Mitchum,Consumer,United States,Columbus,Ohio,43201,West,OS-47601,Office Supplies,Supplies,Dixon Ticonderoga Pencils,2327.4106,14,0.3,910.9034
102,HW-2011-349183,08/02/2011,11/02/2011,Second Class,W-47762,Emily Burns,Home Office,United States,Madison,Wisconsin,53701,East,OB-49472,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,543.0586,3,0.4,-156.8425
103,CC-2014-550089,07/05/2014,12/05/2014,Second Class,C-48177,Mark Lewis,Consumer,United States,Denver,Colorado,80201,South,FB-10205,Furniture,Bookcases,Bush Somerset Collection Bookcase,46.0062,9,0.1,14.655
104,CI-2011-145649,19/05/2011,24/05/2011,Second Class,I-71621,Patrick Jones,Consumer,United States,Indianapolis,Indiana,46201,Central,TM-93318,Technology,Machines,Cisco TelePresence System EX90,1362.4845,13,0,-13.0066
105,CK-2014-672536,07/09/2014,13/09/2014,First Class,K-56176,Carlos Soltero,Consumer,United States,Henderson,Kentucky,42420,West,OL-54374,Office Supplies,Labels,Avery 490 Gold Inkjet Labels,263.6413,10,0.3,-70.2842
106,HV-2011-929538,10/05/2011,16/05/2011,Standard Class,V-15741,Sandra Clark,Home Office,United States,Richmond,Virginia,23218,West,TC-36144,Technology,Copiers,Xerox WorkCentre,1941.595,8,0,-206.8914
107,HM-2011-787584,16/03/2011,23/03/2011,Same Day,M-16265,Sanjit Chand,Home Office,United States,St. Louis,Missouri,63101,Central,FF-53506,Furniture,Furnishings,Deflect-o Stackable Chair Mat,1619.0167,5,0.3,748.21
108,HC-2012-379676,25/11/2012,27/11/2012,Same Day,C-78062,Sanjit Chand,Home Office,United States,Denver,Colorado,80201,South,OA-20828,Office Supplies,Art,Avery Flip-Chart Easel Binders,1243.0271,8,0.3,651.7321
109,HC-2011-274739,30/07/2011,31/07/2011,First Class,C-65851,Maria Etezadi,Home Office,United States,Denver,Colorado,80201,Central,TP-68183,Technology,Phones,Apple iPhone 6S,823.1602,5,0.2,37.796
110,CG-2014-989894,06/10/2014,12/10/2014,Second Class,G-28714,Rick Hansen,Corporate,United States,Atlanta,Georgia,30301,East,OS-89635,Office Supplies,Storage,Eldon Jumbo ProFile Portable Mobile Manager,1018.4945,9,0,563.013
111,CW-2013-565504,23/02/2013,28/02/2013,First Class,W-58760,Andrew Allen,Consumer,United States,Seattle,Washington,98101,Central,TP-20077,Technology,Phones,Apple iPhone 6S,85.8014,3,0.5,47.0898
112,CG-2011-374492,21/08/2011,22/08/2011,First Class,G-25435,Sanjit Chand,Corporate,United States,Atlanta,Georgia,30301,West,TC-44116,Technology,Copiers,Xerox WorkCentre,1840.5088,8,0.4,945.1795
113,HT-2011-192055,09/09/2011,11/09/2011,Same Day,T-68341,Chloris Kastensmidt,Home Office,United States,Nashville,Tennessee,37201,West,TP-99381,Technology,Phones,Apple iPhone 6S,2132.8016,8,0,1063.5834
114,CF-2013-127560,10/01/2013,15/01/2013,Standard Class,F-74752,Chloris Kastensmidt,Corporate,United States,Fort Lauderdale,Florida,33301,West,OL-57303,Office Supplies,Labels,Xerox Labels,564.4828,4,0,-92.1596
115,HM-2012-963333,25/09/2012,29/09/2012,Second Class,M-63665,Alejandro Grove,Home Office,United States,Minneapolis,Minnesota,55401,East,TM-85353,Technology,Machines,Hewlett-Packard LaserJet 3310 Copier,2498.9896,12,0.5,314.1121
116,CF-2014-971776,03/02/2014,09/02/2014,First Class,F-17263,Emily Burns,Corporate,United States,Fort Lauderdale,Florida,33301,West,FC-26274,Furniture,Chairs,Global Push Button Managers Chair,1471.526,13,0,47.9987
117,CT-2013-387782,28/11/2013,01/12/2013,Standard Class,T-82199,Ken Black,Corporate,United States,Houston,Texas,77001,Central,TC-26406,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2115.6046,5,0.1,497.2879
118,HM-2011-143195,17/12/2011,23/12/2011,Standard Class,M-83874,Irene Maddox,Home Office,United States,Minneapolis,Minnesota,55401,West,TM-13718,Technology,Machines,Brother Fax Machine,1563.0756,10,0.3,691.7079
119,HI-2014-606404,19/06/2014,25/06/2014,Standard Class,I-49596,Eric Hoffmann,Home Office,United States,Indianapolis,Indiana,46201,South,FB-42096,Furniture,Bookcases,O'Sullivan Plantations Bookcase,80.5633,11,0.2,19.4888
